rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,43.2454,8,12,0.2,0.25,0.35,1.0,40
2,42.9816,9,13,0.2,0.2,0.3,1.0,40
3,42.9816,9,13,0.2,0.2,0.3,1.0,40
4,42.9816,9,13,0.2,0.2,0.3,1.0,40
5,42.9816,9,13,0.2,0.2,0.3,1.0,40
6,42.9816,9,13,0.2,0.2,0.3,1.0,40
7,42.6476,8,13,0.2,0.2,0.3,1.0,40
8,42.3203,8,13,0.2,0.25,0.35,1.0,40
9,42.1819,9,14,0.2,0.2,0.3,1.0,40
10,42.0837,8,12,0.2,0.30000000000000004,0.5,1.0,40
11,42.0837,8,12,0.2,0.30000000000000004,0.5,1.0,40
12,41.7084,8,14,0.2,0.25,0.44999999999999996,1.0,40
13,41.6795,9,12,0.2,0.25,0.35,1.0,40
14,41.5628,9,12,0.2,0.25,0.44999999999999996,1.0,40
15,41.5583,9,13,0.2,0.25,0.35,1.0,40
16,41.5583,9,13,0.2,0.25,0.35,1.0,40
17,41.5583,9,13,0.2,0.25,0.35,1.0,40
18,41.5583,9,13,0.2,0.25,0.35,1.0,40
19,41.3712,8,14,0.2,0.30000000000000004,0.5,1.0,30
20,41.3237,10,14,0.2,0.2,0.3,1.0,40
21,41.3237,10,14,0.2,0.2,0.3,1.0,40
22,41.3237,10,14,0.2,0.2,0.3,1.0,40
23,41.3237,10,14,0.2,0.2,0.3,1.0,40
24,41.3237,10,14,0.2,0.2,0.3,1.0,40
25,41.3237,10,14,0.2,0.2,0.3,1.0,40
26,41.3237,10,14,0.2,0.2,0.3,1.0,40
27,41.3237,10,14,0.2,0.2,0.3,1.0,40
28,41.3237,10,14,0.2,0.2,0.3,1.0,40
29,41.3237,10,14,0.2,0.2,0.3,1.0,40
30,41.3237,10,14,0.2,0.2,0.3,1.0,40
31,41.3237,10,14,0.2,0.2,0.3,1.0,40
32,41.3237,10,14,0.2,0.2,0.3,1.0,40
33,41.3237,10,14,0.2,0.2,0.3,1.0,40
34,41.3237,10,14,0.2,0.2,0.3,1.0,40
35,41.3237,10,14,0.2,0.2,0.3,1.0,40
36,41.3237,10,14,0.2,0.2,0.3,1.0,40
37,41.3237,10,14,0.2,0.2,0.3,1.0,40
38,41.3237,10,14,0.2,0.2,0.3,1.0,40
39,41.3237,10,14,0.2,0.2,0.3,1.0,40
40,41.3237,10,14,0.2,0.2,0.3,1.0,40
41,41.3237,10,14,0.2,0.2,0.3,1.0,40
