rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,32.1575,5,23,0.75,0.4,2.5,1.5,60
2,30.5866,5,23,0.8,0.30000000000000004,2.5,1.5,60
3,28.9320,6,17,0.6000000000000001,0.35000000000000003,2.45,1.3,70
4,28.2164,6,23,0.95,0.25,2.35,1.5,60
5,28.0986,6,20,0.6000000000000001,0.25,2.45,1.4,70
6,28.0022,6,23,0.9000000000000001,0.30000000000000004,2.5,1.4,70
7,27.1740,6,21,0.6000000000000001,0.25,2.45,1.4,70
8,27.1217,6,21,0.75,0.2,2.5,1.4,70
9,27.1217,6,21,0.75,0.2,2.5,1.4,70
10,27.1217,6,21,0.75,0.2,2.5,1.4,70
11,27.1217,6,21,0.75,0.2,2.5,1.4,70
12,26.2785,6,20,0.9000000000000001,0.2,2.5,1.4,70
13,23.3236,5,25,0.9000000000000001,0.2,2.3,1.5,70
14,23.2276,5,23,0.8500000000000001,0.55,2.25,1.5,60
15,23.2276,5,23,0.8500000000000001,0.55,2.25,1.5,60
16,23.0178,7,19,0.9000000000000001,0.7,2.0,1.1,60
17,22.9452,5,20,0.75,0.25,2.35,1.4,70
18,22.7290,5,23,0.8500000000000001,0.55,2.15,1.5,60
19,22.1623,5,24,0.8500000000000001,0.55,2.25,1.5,60
20,21.7375,7,22,0.8500000000000001,0.7,2.0,1.3,60
21,21.4712,6,19,0.6000000000000001,0.30000000000000004,2.4,1.4,70
22,21.0707,6,17,0.65,0.25,2.35,1.3,70
23,20.6583,6,23,0.8500000000000001,0.45,2.1500000000000004,1.5,60
24,20.4039,6,27,1.1,0.30000000000000004,2.5,1.4,70
25,19.4711,6,20,1.0,0.25,2.35,1.5,60
26,18.7790,7,15,0.6000000000000001,0.4,2.5,1.5,70
27,18.3102,8,21,0.55,0.25,2.35,1.3,70
28,18.2877,6,20,0.7,0.30000000000000004,2.5,1.2,70
29,18.1303,7,23,0.65,0.55,2.0500000000000003,1.3,50
30,18.1170,7,16,0.6000000000000001,0.30000000000000004,2.4,1.3,70
31,17.8343,5,18,0.65,0.55,2.25,1.5,60
32,17.0280,7,14,0.95,0.7,2.1,1.3,60
33,16.9609,7,18,0.65,0.2,2.5,1.4,70
34,16.8798,7,17,0.8,0.65,1.85,1.3,40
35,16.5541,7,18,0.65,0.6000000000000001,1.6,1.4,50
36,16.5540,7,22,0.9000000000000001,0.8,1.8,1.1,60
37,15.7095,7,14,0.4,0.7,2.1,1.3,50
38,15.6716,6,18,0.75,0.65,1.9500000000000002,1.2,40
39,15.5847,9,17,0.35000000000000003,0.65,2.1500000000000004,1.4,50
40,14.9684,8,19,0.5,0.35000000000000003,2.45,1.3,70
41,14.9592,7,18,0.6000000000000001,0.6000000000000001,1.5,1.4,60
42,14.2767,9,13,0.6000000000000001,0.55,1.75,1.5,50
