rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,34.8080,17,22,0.65,0.25,0.35,1.1,50
2,33.4568,13,17,0.65,0.2,0.3,1.1,50
3,32.9836,14,18,0.65,0.2,0.3,1.1,50
4,32.6554,15,19,0.65,0.2,0.3,1.1,50
5,32.5212,14,18,0.7,0.25,0.44999999999999996,1.2,50
6,32.3292,14,18,0.7,0.25,0.44999999999999996,1.1,50
7,32.2865,17,23,0.65,0.25,0.35,1.0,50
8,32.0017,17,22,0.6000000000000001,0.25,0.35,1.1,50
9,32.0017,17,22,0.6000000000000001,0.25,0.35,1.1,50
10,31.4108,13,21,0.6000000000000001,0.25,0.44999999999999996,1.1,50
11,31.3204,17,22,0.65,0.2,0.3,1.0,50
12,30.9790,15,19,0.8,0.2,0.3,1.1,50
13,30.2500,17,23,0.65,0.2,0.3,1.0,50
14,30.2500,17,23,0.65,0.2,0.3,1.0,50
15,30.0797,17,22,0.6000000000000001,0.25,0.44999999999999996,1.0,60
16,30.0198,13,18,0.55,0.25,0.44999999999999996,1.1,50
17,29.8853,12,17,0.65,0.30000000000000004,0.6000000000000001,2.4000000000000004,50
18,29.6703,17,23,0.6000000000000001,0.25,0.44999999999999996,1.0,50
19,29.4991,14,19,0.8,0.2,0.3,1.1,50
20,29.4407,17,23,0.6000000000000001,0.2,0.3,1.0,50
21,29.2570,14,18,0.75,0.25,0.44999999999999996,1.2,50
22,29.0996,12,15,0.65,0.2,0.4,1.1,50
23,28.5121,16,23,0.7,0.35000000000000003,0.55,1.0,60
24,28.3268,15,19,0.5,0.2,0.3,1.2,50
25,27.7482,13,17,0.55,0.25,0.44999999999999996,1.2,50
26,27.6217,12,16,0.75,0.25,0.35,1.1,50
27,27.6084,15,19,0.8,0.25,0.35,1.1,50
28,27.3880,17,23,0.7,0.35000000000000003,0.65,1.0,60
29,27.3004,14,20,0.6000000000000001,0.2,0.3,1.3,50
30,27.2354,17,23,0.5,0.25,0.65,1.1,50
31,26.8811,15,19,0.5,0.30000000000000004,0.5,1.2,50
32,26.4457,16,22,0.55,0.25,0.44999999999999996,1.0,50
33,26.2919,14,21,0.6000000000000001,0.30000000000000004,0.5,1.2,50
34,26.2093,18,27,0.6000000000000001,0.2,0.3,1.0,50
35,26.0505,13,17,0.7,0.35000000000000003,0.55,1.3,40
36,26.0143,16,26,0.6000000000000001,0.30000000000000004,0.5,1.0,60
37,26.0112,19,28,0.65,0.25,0.35,1.0,50
38,25.9536,17,22,0.9000000000000001,0.2,0.4,1.2,40
39,25.6293,14,21,0.75,0.2,0.4,1.1,50
40,25.6289,11,20,1.3,0.30000000000000004,0.4,1.6,70
41,25.4472,15,20,0.75,0.30000000000000004,0.5,1.2,50
42,25.2582,14,18,0.4,0.30000000000000004,0.7000000000000001,1.1,50
43,25.2140,16,21,0.8,0.2,0.4,1.0,50
44,25.1226,18,23,0.45,0.30000000000000004,0.5,1.1,50
45,24.9537,19,25,0.45,0.25,0.55,1.0,50
46,24.5078,15,20,0.5,0.30000000000000004,0.7000000000000001,1.2,50
47,24.4251,16,21,0.8,0.2,0.4,1.1,50
48,24.2380,13,16,0.7,0.4,0.6,1.3,50
49,24.2147,19,25,0.65,0.2,0.3,1.0,60
50,23.7846,18,25,0.55,0.30000000000000004,0.6000000000000001,1.1,50
51,23.7367,16,21,0.75,0.25,0.44999999999999996,1.4,50
52,23.3467,18,26,0.55,0.25,0.44999999999999996,1.2,50
53,23.2869,20,27,0.65,0.30000000000000004,0.5,1.0,50
54,23.0645,18,24,0.7,0.4,0.6,1.1,60
55,22.9518,15,21,0.8500000000000001,0.2,0.4,1.1,50
56,22.2976,11,33,1.05,0.35000000000000003,0.75,1.3,40
57,21.7102,6,23,0.95,0.25,0.55,1.4,70
58,21.6499,11,35,0.75,0.5,0.9,1.2,30
59,21.4250,17,24,0.95,0.25,0.55,1.3,40
60,21.3795,6,18,0.25,0.45,1.25,1.4,70
61,21.3423,10,38,0.7,0.65,1.05,1.1,50
62,20.9354,9,20,1.4000000000000001,0.35000000000000003,0.65,1.3,50
63,20.8900,8,11,1.3,0.25,0.35,1.5,60
