rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
2,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
3,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
4,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
5,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
6,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
7,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
8,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
9,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
10,37.5745,15,19,0.65,0.30000000000000004,0.6000000000000001,1.2,50
11,37.5007,15,19,0.65,0.25,0.55,1.2,50
12,37.5007,15,19,0.65,0.25,0.55,1.2,50
13,36.9813,14,19,0.7,0.30000000000000004,0.5,1.2,50
14,36.9813,14,19,0.7,0.30000000000000004,0.5,1.2,50
15,35.9770,14,18,0.6000000000000001,0.30000000000000004,0.5,1.2,50
16,35.9770,14,18,0.6000000000000001,0.30000000000000004,0.5,1.2,50
17,35.9770,14,18,0.6000000000000001,0.30000000000000004,0.5,1.2,50
18,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
19,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
20,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
21,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
22,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
23,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
24,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
25,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
26,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
27,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
28,35.3246,15,19,0.6000000000000001,0.30000000000000004,0.6000000000000001,1.2,50
29,35.2310,15,19,0.7,0.35000000000000003,0.55,1.2,50
30,35.2310,15,19,0.7,0.35000000000000003,0.55,1.2,50
31,35.2310,15,19,0.7,0.35000000000000003,0.55,1.2,50
32,35.2310,15,19,0.7,0.35000000000000003,0.55,1.2,50
