rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,1827.6345,18,37,1.05,0.4,1.1,1.9,70
2,1827.6345,18,37,1.05,0.4,1.1,1.9,70
3,1800.7212,18,37,1.1,0.4,1.0,1.9,70
4,1800.7212,18,37,1.1,0.4,1.0,1.9,70
5,1800.7212,18,37,1.1,0.4,1.0,1.9,70
6,1800.7212,18,37,1.1,0.4,1.0,1.9,70
7,1800.7212,18,37,1.1,0.4,1.0,1.9,70
8,1800.7212,18,37,1.1,0.4,1.0,1.9,70
9,1800.7212,18,37,1.1,0.4,1.0,1.9,70
10,1746.6020,18,37,1.1,0.35000000000000003,0.55,1.9,70
11,1571.5848,18,37,1.1,0.35000000000000003,0.95,2.0,70
12,1571.5848,18,37,1.1,0.35000000000000003,0.95,2.0,70
13,1571.5848,18,37,1.1,0.35000000000000003,0.95,2.0,70
14,1571.5848,18,37,1.1,0.35000000000000003,0.95,2.0,70
15,1571.5848,18,37,1.1,0.35000000000000003,0.95,2.0,70
16,1571.5848,18,37,1.1,0.35000000000000003,0.95,2.0,70
17,1571.5848,18,37,1.1,0.35000000000000003,0.95,2.0,70
18,1545.3024,18,37,1.05,0.35000000000000003,0.75,2.0,70
19,1544.5765,18,37,1.0,0.35000000000000003,0.75,2.0,70
20,1531.0336,18,37,1.1,0.35000000000000003,0.8500000000000001,2.0,70
21,1530.4870,18,37,1.05,0.35000000000000003,0.8500000000000001,2.0,70
22,1530.4870,18,37,1.05,0.35000000000000003,0.8500000000000001,2.0,70
23,1508.9459,18,37,1.0,0.25,0.75,2.0,70
24,1404.1457,19,35,1.2,0.25,0.75,1.8,70
25,1346.3600,18,37,1.05,0.35000000000000003,0.55,2.2,70
26,1345.8494,18,37,1.0,0.35000000000000003,0.55,2.2,70
27,1341.8904,18,37,1.0,0.25,0.75,2.1,70
28,1223.2441,19,35,1.1500000000000001,0.5,0.7,2.1,70
29,1182.3281,19,35,1.1500000000000001,0.45,0.65,2.1,70
