rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,19.8283,7,23,0.65,0.55,2.0500000000000003,1.3,50
2,18.0019,7,18,0.6000000000000001,0.6000000000000001,1.5,1.4,60
3,15.3344,6,18,0.25,0.45,1.25,1.4,70
4,13.5849,10,25,0.9000000000000001,0.30000000000000004,2.1,1.1,70
5,13.0441,17,30,0.30000000000000004,0.75,1.55,1.1,50
6,9.3139,10,53,1.1500000000000001,0.7,1.0,1.2,30
7,6.8983,5,51,0.5,0.75,1.35,1.8,50
8,5.2257,18,42,1.1500000000000001,0.2,2.5,2.3,40
9,5.0974,14,18,1.0,0.30000000000000004,0.5,2.5,70
10,4.5845,7,54,1.2,0.95,2.35,1.9,70
