rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,21.1419,8,32,0.45,0.25,0.35,1.2,60
2,20.9388,9,32,0.55,0.2,0.30000000000000004,1.1,50
3,20.8516,9,35,0.55,0.2,0.4,1.0,50
4,20.7882,11,30,0.7,0.30000000000000004,0.6000000000000001,1.0,50
5,20.7061,8,30,0.45,0.2,0.30000000000000004,1.0,50
6,20.6230,9,30,0.6000000000000001,0.25,0.44999999999999996,1.0,50
7,20.5659,14,26,0.65,0.25,0.44999999999999996,1.0,50
8,19.3435,10,26,0.45,0.2,0.30000000000000004,1.0,50
9,19.2665,13,27,0.55,0.35000000000000003,0.6500000000000001,1.0,50
10,19.1426,11,29,0.5,0.25,0.35,1.2,50
11,19.0580,12,26,0.8500000000000001,0.25,0.44999999999999996,1.2,50
12,18.9311,13,30,0.55,0.25,0.44999999999999996,1.0,50
13,18.5520,8,32,0.75,0.25,0.35,1.1,40
14,18.3837,13,29,0.8,0.25,0.44999999999999996,1.2,50
15,18.2361,14,27,0.6000000000000001,0.4,0.6,1.0,50
16,18.2361,14,27,0.6000000000000001,0.4,0.6,1.0,50
17,18.1757,12,25,0.55,0.2,0.4,1.0,50
18,18.0278,13,28,0.6000000000000001,0.35000000000000003,0.55,1.0,50
19,17.9370,9,35,0.6000000000000001,0.2,0.4,1.2,50
20,17.8840,10,34,0.5,0.25,0.35,1.1,50
21,17.7120,11,30,0.7,0.30000000000000004,0.5,1.1,50
22,17.2442,7,29,0.45,0.2,0.4,1.0,50
23,17.1347,7,33,0.4,0.2,0.30000000000000004,1.1,60
24,17.0538,9,47,0.7,0.30000000000000004,0.6000000000000001,1.0,40
25,16.9246,10,33,0.8500000000000001,0.30000000000000004,0.5,1.0,40
26,16.5460,12,27,0.55,0.45,0.75,1.0,50
27,16.3306,8,32,0.4,0.2,0.30000000000000004,1.3,60
28,16.3306,8,32,0.4,0.2,0.30000000000000004,1.3,60
29,16.1100,15,26,0.55,0.30000000000000004,0.5,1.1,50
30,16.1100,6,17,0.45,0.25,0.44999999999999996,1.1,40
31,16.0384,7,29,0.4,0.2,0.4,1.1,60
32,15.9419,12,28,0.6000000000000001,0.35000000000000003,0.55,1.0,50
33,15.9130,8,33,0.55,0.4,0.6,1.4,70
34,15.5330,13,29,0.45,0.25,0.35,1.2,50
35,15.5277,8,31,0.4,0.2,0.30000000000000004,1.3,60
36,15.5144,9,38,0.4,0.30000000000000004,0.5,1.1,60
37,15.4784,11,44,0.9000000000000001,0.4,0.6,1.0,30
38,15.3717,8,31,0.35000000000000003,0.2,0.30000000000000004,1.3,60
39,15.1614,9,45,0.8,0.35000000000000003,0.55,1.0,40
40,14.5198,11,28,0.65,0.30000000000000004,0.8,1.3,50
41,14.4597,6,32,0.5,0.2,0.4,1.4,60
42,14.4423,14,31,0.65,0.2,0.30000000000000004,1.1,50
43,14.3650,8,36,0.25,0.2,0.30000000000000004,1.3,70
44,14.2231,13,43,0.8500000000000001,0.45,0.55,1.0,40
45,14.0597,11,20,0.5,0.35000000000000003,0.6500000000000001,1.2,50
46,13.7534,12,22,0.8500000000000001,0.25,0.44999999999999996,1.2,50
47,13.7388,6,38,0.6000000000000001,0.25,0.44999999999999996,1.3,60
48,13.6963,6,28,0.5,0.25,0.44999999999999996,1.1,50
49,13.6501,13,24,0.75,0.35000000000000003,0.6500000000000001,1.2,50
50,13.5682,16,26,0.95,0.25,0.44999999999999996,1.1,50
51,13.5244,13,31,0.75,0.30000000000000004,0.5,1.1,50
52,13.4058,8,30,0.4,0.30000000000000004,0.7000000000000001,1.1,50
53,13.0919,12,24,0.7,0.25,2.25,1.0,30
54,12.9388,14,31,0.5,0.5,0.7,1.1,50
55,12.8700,10,43,0.8500000000000001,0.35000000000000003,0.45000000000000007,1.0,40
56,12.7880,5,32,0.5,0.30000000000000004,1.6,1.0,60
57,12.6843,6,26,1.2,0.25,0.75,1.0,40
58,12.6692,13,35,0.65,0.4,0.6,1.0,50
59,12.3857,10,34,0.30000000000000004,0.30000000000000004,0.5,1.1,60
60,12.3355,9,34,0.30000000000000004,0.25,0.44999999999999996,1.3,40
61,12.1224,11,23,0.8,0.25,1.75,1.2,40
62,12.1120,14,30,0.75,0.75,0.95,1.1,50
63,12.0778,16,48,1.3,0.4,0.7,1.2,40
64,11.9600,5,28,0.55,0.25,0.35,1.2,60
65,11.7267,15,30,0.7,0.30000000000000004,0.8,1.0,50
66,11.5793,7,55,0.65,0.2,0.30000000000000004,1.2,60
67,11.3081,10,25,0.9000000000000001,0.30000000000000004,2.1,1.1,70
68,11.1226,10,36,0.2,0.35000000000000003,0.9500000000000001,1.1,50
69,11.0586,13,36,0.45,0.2,0.30000000000000004,1.0,40
70,10.9602,12,40,0.95,0.8500000000000001,1.1500000000000001,1.2,50
71,10.9340,7,41,0.35000000000000003,0.25,0.44999999999999996,1.2,60
72,10.7145,8,22,0.7,0.25,0.65,1.2,50
73,10.6947,18,33,0.9000000000000001,0.35000000000000003,0.55,1.2,60
