rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,535.3664,8,12,1.5,0.65,0.85,1.0,70
2,535.3664,8,12,1.5,0.65,0.85,1.0,70
3,535.3664,8,12,1.5,0.65,0.85,1.0,70
4,519.7799,8,12,1.5,0.6000000000000001,0.8999999999999999,1.0,70
5,519.7799,8,12,1.5,0.6000000000000001,0.8999999999999999,1.0,70
6,519.0107,8,12,1.45,0.6000000000000001,0.8999999999999999,1.0,70
7,518.1889,8,12,1.4000000000000001,0.6000000000000001,0.8999999999999999,1.0,70
8,504.9786,8,12,1.5,0.6000000000000001,0.7999999999999999,1.0,70
9,504.9786,8,12,1.5,0.6000000000000001,0.7999999999999999,1.0,70
10,504.9786,8,12,1.5,0.6000000000000001,0.7999999999999999,1.0,70
11,504.9786,8,12,1.5,0.6000000000000001,0.7999999999999999,1.0,70
12,504.2352,8,12,1.45,0.6000000000000001,0.7999999999999999,1.0,70
13,504.2352,8,12,1.45,0.6000000000000001,0.7999999999999999,1.0,70
14,504.2352,8,12,1.45,0.6000000000000001,0.7999999999999999,1.0,70
15,503.4409,8,12,1.4000000000000001,0.6000000000000001,0.7999999999999999,1.0,70
16,503.4409,8,12,1.4000000000000001,0.6000000000000001,0.7999999999999999,1.0,70
17,121.3787,8,12,1.4000000000000001,0.5,0.7,1.0,70
18,121.3787,8,12,1.4000000000000001,0.5,0.7,1.0,70
19,121.3787,8,12,1.4000000000000001,0.5,0.7,1.0,70
20,121.3787,8,12,1.4000000000000001,0.5,0.7,1.0,70
21,121.3787,8,12,1.4000000000000001,0.5,0.7,1.0,70
22,121.3787,8,12,1.4000000000000001,0.5,0.7,1.0,70
23,117.9430,8,12,1.35,0.45,0.65,1.0,70
24,102.5222,8,12,1.5,0.55,0.75,1.0,70
25,102.5222,8,12,1.5,0.55,0.75,1.0,70
26,102.5222,8,12,1.5,0.55,0.75,1.0,70
27,102.2933,8,12,1.45,0.55,0.75,1.0,70
28,102.2933,8,12,1.45,0.55,0.75,1.0,70
29,102.2933,8,12,1.45,0.55,0.75,1.0,70
30,101.7392,8,11,1.3,0.45,0.65,1.2,70
31,101.7392,8,11,1.3,0.45,0.65,1.2,70
32,101.7392,8,11,1.3,0.45,0.65,1.2,70
33,101.5188,8,11,1.25,0.45,0.65,1.2,70
34,101.5188,8,11,1.25,0.45,0.65,1.2,70
35,101.0120,8,12,1.35,0.55,0.75,1.2,70
36,98.9143,8,12,1.45,0.5,0.7,1.0,70
37,98.9143,8,12,1.45,0.5,0.7,1.0,70
38,98.6225,8,12,1.35,0.5,0.7,1.2,70
39,97.0148,8,12,1.5,0.5,0.8,1.0,70
40,97.0148,8,12,1.5,0.5,0.8,1.0,70
41,96.8131,8,12,1.45,0.5,0.8,1.0,70
42,96.8131,8,12,1.45,0.5,0.8,1.0,70
43,96.8131,8,12,1.45,0.5,0.8,1.0,70
44,96.0875,8,12,1.4000000000000001,0.5,0.7,1.1,70
45,95.8955,8,12,1.35,0.5,0.7,1.1,70
46,95.8955,8,12,1.35,0.5,0.7,1.1,70
47,95.8955,8,12,1.35,0.5,0.7,1.1,70
48,93.6424,8,12,1.35,0.45,0.75,1.2,70
49,92.6345,8,12,1.3,0.45,0.65,1.2,70
50,92.4389,8,12,1.25,0.45,0.65,1.2,70
51,89.1579,8,12,1.35,0.45,0.75,1.1,70
52,88.6982,8,12,1.4000000000000001,0.45,0.65,1.1,70
53,88.5409,8,12,1.35,0.45,0.65,1.1,70
54,88.5409,8,12,1.35,0.45,0.65,1.1,70
55,88.5409,8,12,1.35,0.45,0.65,1.1,70
56,88.5409,8,12,1.35,0.45,0.65,1.1,70
57,88.5409,8,12,1.35,0.45,0.65,1.1,70
58,88.5409,8,12,1.35,0.45,0.65,1.1,70
59,88.5409,8,12,1.35,0.45,0.65,1.1,70
60,88.5409,8,12,1.35,0.45,0.65,1.1,70
61,88.3720,8,12,1.3,0.45,0.65,1.1,70
62,88.3720,8,12,1.3,0.45,0.65,1.1,70
63,86.2055,7,11,1.25,0.4,0.6,1.2,70
64,86.2055,7,11,1.25,0.4,0.6,1.2,70
65,86.2055,7,11,1.25,0.4,0.6,1.2,70
66,86.2055,7,11,1.25,0.4,0.6,1.2,70
67,86.2055,7,11,1.25,0.4,0.6,1.2,70
68,86.2055,7,11,1.25,0.4,0.6,1.2,70
69,85.2495,8,11,1.3,0.45,0.65,1.3,70
70,85.2495,8,11,1.3,0.45,0.65,1.3,70
71,85.2495,8,11,1.3,0.45,0.65,1.3,70
72,85.0773,8,11,1.25,0.45,0.65,1.3,70
73,84.3645,7,11,1.25,0.4,0.5,1.2,70
74,84.3645,7,11,1.25,0.4,0.5,1.2,70
75,84.3645,7,11,1.25,0.4,0.5,1.2,70
76,84.3645,7,11,1.25,0.4,0.5,1.2,70
77,84.3645,7,11,1.25,0.4,0.5,1.2,70
78,84.3645,7,11,1.25,0.4,0.5,1.2,70
79,81.5093,8,12,1.3,0.55,0.75,1.3,70
80,79.4538,8,12,1.3,0.5,0.7,1.3,70
81,77.1263,8,12,1.3,0.45,0.65,1.3,70
82,75.9247,8,13,1.35,0.55,0.75,1.3,70
83,75.7881,8,13,1.3,0.55,0.75,1.3,70
84,75.7881,8,13,1.3,0.55,0.75,1.3,70
85,75.7881,8,13,1.3,0.55,0.75,1.3,70
86,75.7881,8,13,1.3,0.55,0.75,1.3,70
87,74.7712,10,19,1.3,0.45,0.8500000000000001,1.1,70
88,74.5025,8,13,1.3,0.5,0.7,1.3,70
89,74.5025,8,13,1.3,0.5,0.7,1.3,70
90,74.5025,8,13,1.3,0.5,0.7,1.3,70
91,74.0007,7,10,1.3,0.45,0.55,1.4,70
92,73.3367,8,13,1.25,0.45,0.65,1.3,70
93,72.8781,8,12,1.45,0.45,0.65,1.1,70
94,72.8781,8,12,1.45,0.45,0.65,1.1,70
95,72.8722,8,13,1.3,0.5,0.8,1.3,70
96,72.2477,7,10,1.35,0.6000000000000001,0.7999999999999999,1.4,70
97,71.6558,7,11,1.35,0.45,0.65,1.4,70
98,71.0695,7,11,1.35,0.55,0.75,1.4,70
99,70.8954,8,12,1.3,0.4,0.6,1.2,70
100,70.8954,8,12,1.3,0.4,0.6,1.2,70
