rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,33.2960,9,13,1.3,0.65,2.25,1.3,50
2,31.2428,10,14,1.3,0.5,2.1,1.3,50
3,30.5443,9,13,1.3,0.6000000000000001,2.3,1.3,50
4,30.4021,9,13,1.3,0.55,2.25,1.3,50
5,30.1038,9,13,1.3,0.5,2.2,1.3,50
6,29.0530,9,13,1.3,0.5,2.1,1.3,50
7,28.8887,9,13,1.35,0.6000000000000001,1.4,1.3,50
8,28.7218,9,13,1.35,0.7,2.3,1.3,50
9,28.6428,8,12,1.3,0.55,2.25,1.3,50
10,28.4725,8,12,1.3,0.6000000000000001,2.2,1.3,50
11,28.4725,8,12,1.3,0.6000000000000001,2.2,1.3,50
12,28.4725,8,12,1.3,0.6000000000000001,2.2,1.3,50
13,28.4725,8,12,1.3,0.6000000000000001,2.2,1.3,50
14,28.1807,9,13,1.35,0.65,2.25,1.3,50
15,27.8295,8,12,1.3,0.45,2.05,1.3,50
16,27.3916,8,12,1.35,0.6000000000000001,1.4,1.3,50
17,26.6118,9,13,1.3,0.5,2.2,1.4,50
18,26.6118,9,13,1.3,0.5,2.2,1.4,50
19,26.6118,9,13,1.3,0.5,2.2,1.4,50
20,26.5170,9,13,1.3,0.5,1.3,1.3,50
21,26.4155,9,13,1.3,0.55,2.15,1.4,50
22,26.4155,9,13,1.3,0.55,2.15,1.4,50
23,26.4155,9,13,1.3,0.55,2.15,1.4,50
24,26.2905,8,14,1.25,0.65,1.85,1.3,50
25,26.2616,8,12,1.3,0.4,2.1,1.3,70
26,26.2467,10,14,1.3,0.55,2.15,1.5,50
27,26.1193,9,13,1.5,0.65,2.35,1.3,50
28,26.1193,9,13,1.5,0.65,2.35,1.3,50
29,26.1193,9,13,1.5,0.65,2.35,1.3,50
30,26.1193,9,13,1.5,0.65,2.35,1.3,50
31,26.0898,9,13,1.45,0.65,2.35,1.3,50
32,26.0898,9,13,1.45,0.65,2.35,1.3,50
33,26.0898,9,13,1.45,0.65,2.35,1.3,50
34,26.0898,9,13,1.45,0.65,2.35,1.3,50
35,26.0583,9,13,1.4000000000000001,0.65,2.35,1.3,50
36,26.0583,9,13,1.4000000000000001,0.65,2.35,1.3,50
