rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,99.1424,8,33,1.0,0.35000000000000003,2.45,1.7000000000000002,40
2,96.9709,7,36,0.95,0.35000000000000003,2.45,1.8,40
3,96.6954,8,34,0.95,0.35000000000000003,2.45,1.6,40
4,94.3172,7,36,0.95,0.35000000000000003,2.35,1.8,40
5,94.3172,7,36,0.95,0.35000000000000003,2.35,1.8,40
6,94.3172,7,36,0.95,0.35000000000000003,2.35,1.8,40
7,94.3172,7,36,0.95,0.35000000000000003,2.35,1.8,40
8,94.3172,7,36,0.95,0.35000000000000003,2.35,1.8,40
9,94.3172,7,36,0.95,0.35000000000000003,2.35,1.8,40
10,94.3172,7,36,0.95,0.35000000000000003,2.35,1.8,40
11,93.8851,7,33,1.0,0.4,2.5,1.8,40
12,93.7534,7,34,1.0,0.4,2.5,1.8,40
13,93.7534,7,34,1.0,0.4,2.5,1.8,40
14,93.6154,7,33,1.05,0.4,2.5,1.8,40
15,93.4647,8,33,1.0,0.4,2.5,1.6,40
16,93.2173,8,34,1.0,0.4,2.4000000000000004,1.7000000000000002,40
17,91.6231,7,34,1.05,0.4,2.4000000000000004,1.8,40
18,91.4418,7,34,1.0,0.35000000000000003,2.35,1.8,40
19,90.9711,8,34,1.0,0.4,2.5,1.6,40
20,89.1087,7,36,0.95,0.35000000000000003,2.45,1.7000000000000002,40
21,88.3409,8,32,0.95,0.35000000000000003,2.35,1.7000000000000002,40
22,88.1733,8,28,1.0,0.4,1.9000000000000001,1.7000000000000002,60
23,87.4336,7,33,1.0,0.4,2.5,1.6,40
24,87.3240,7,34,1.0,0.4,2.5,1.7000000000000002,40
25,87.3240,7,34,1.0,0.4,2.5,1.7000000000000002,40
26,87.3240,7,34,1.0,0.4,2.5,1.7000000000000002,40
27,87.3240,7,34,1.0,0.4,2.5,1.6,40
28,87.3240,7,34,1.0,0.4,2.5,1.6,40
29,87.3240,7,34,1.0,0.4,2.5,1.6,40
30,87.3240,7,34,1.0,0.4,2.5,1.6,40
31,87.3240,7,34,1.0,0.4,2.5,1.6,40
32,87.3240,7,34,1.0,0.4,2.5,1.6,40
33,87.3240,7,34,1.0,0.4,2.5,1.6,40
34,87.0732,7,34,1.05,0.4,2.5,1.6,40
35,86.9979,7,32,1.0,0.4,2.5,1.8,40
36,86.6433,8,34,1.05,0.4,2.5,1.6,40
37,86.1326,7,35,1.05,0.35000000000000003,2.35,1.8,40
38,86.0507,8,34,1.1,0.4,2.5,1.6,40
39,83.6130,7,34,1.0,0.35000000000000003,2.35,1.6,40
40,81.9498,7,36,0.95,0.35000000000000003,2.35,1.9,40
41,81.9498,7,36,0.95,0.35000000000000003,2.35,1.9,40
42,81.1041,7,32,1.0,0.35000000000000003,2.35,1.6,40
43,81.0667,7,32,1.05,0.35000000000000003,2.45,1.9,30
44,81.0478,7,31,1.0,0.4,2.5,1.7000000000000002,40
45,80.7216,7,35,1.0,0.35000000000000003,2.35,1.6,40
46,80.1716,8,34,1.05,0.4,2.5,1.7000000000000002,40
47,80.0793,7,33,1.0,0.35000000000000003,2.25,1.9,40
48,79.1374,7,33,1.0,0.45,2.45,2.0,40
49,72.5382,7,33,1.0,0.45,2.25,2.1,60
50,71.4949,8,31,1.0,0.5,1.7000000000000002,1.3,50
51,70.7612,6,39,1.05,0.35000000000000003,2.35,1.9,40
52,70.4514,7,35,1.0,0.45,2.35,2.0,50
53,64.0241,7,33,1.0,0.4,2.1,2.1,60
54,62.4166,8,33,1.1,0.45,1.85,2.1,60
55,61.9308,7,32,1.0,0.5,2.2,2.0,40
56,60.7553,8,33,0.9000000000000001,0.35000000000000003,2.35,1.7000000000000002,40
57,60.6983,8,34,0.95,0.35000000000000003,2.45,1.8,40
58,59.7619,7,34,0.95,0.45,2.45,1.8,40
59,58.6804,8,34,0.9000000000000001,0.4,2.4000000000000004,1.7000000000000002,40
60,58.2587,8,34,0.95,0.4,2.4000000000000004,1.8,40
61,58.2374,8,33,1.0,0.35000000000000003,2.35,1.8,40
62,58.2019,8,34,1.0,0.4,1.1,1.8,40
63,57.2680,7,33,0.95,0.35000000000000003,2.45,1.8,40
64,56.8716,7,34,0.95,0.4,2.5,1.8,40
65,56.8029,8,34,0.95,0.4,2.3,1.8,40
66,56.6047,7,33,0.95,0.4,2.5,1.8,40
67,55.9275,8,27,1.45,0.35000000000000003,1.85,2.1,60
68,55.8112,7,33,0.95,0.35000000000000003,2.35,1.7000000000000002,40
69,55.8076,7,33,0.95,0.35000000000000003,2.35,1.6,40
70,53.8111,8,32,1.1,0.35000000000000003,2.35,1.8,40
71,53.6154,7,35,0.95,0.4,2.5,1.6,40
72,51.1953,7,33,1.0,0.4,2.4000000000000004,1.7000000000000002,40
73,50.9972,7,35,0.95,0.4,2.3,1.6,40
74,50.7959,8,34,1.1500000000000001,0.45,1.85,1.3,60
75,50.5331,8,32,0.95,0.30000000000000004,2.4,1.7000000000000002,40
76,50.4174,7,30,1.05,0.35000000000000003,2.25,1.6,40
77,50.4168,7,33,1.05,0.45,2.45,1.7000000000000002,40
78,50.0543,7,33,1.0,0.35000000000000003,0.65,1.8,40
79,49.8831,7,35,1.0,0.30000000000000004,2.5,1.7000000000000002,40
80,49.6006,7,35,1.0,0.4,2.5,1.8,40
81,49.2531,7,35,1.05,0.45,1.9500000000000002,2.4000000000000004,60
82,49.0618,7,36,1.0,0.45,2.45,1.7000000000000002,40
83,48.9453,6,37,1.0,0.4,2.5,1.7000000000000002,40
84,48.7484,7,33,1.2,0.45,1.85,1.3,60
85,48.7336,7,36,1.0,0.4,2.4000000000000004,1.8,40
86,48.3973,7,35,1.05,0.4,2.5,1.6,40
87,48.2612,7,37,0.95,0.35000000000000003,2.35,1.8,40
88,48.2395,6,31,1.0,0.35000000000000003,2.35,1.8,40
89,48.0530,7,32,1.1,0.45,2.45,1.8,40
90,48.0200,7,35,1.0,0.4,2.4000000000000004,1.7000000000000002,40
91,47.5956,6,36,1.05,0.4,2.5,1.8,40
92,47.5049,6,31,1.0,0.35000000000000003,2.35,1.7000000000000002,40
93,47.4534,7,35,0.9000000000000001,0.45,2.25,1.9,40
94,47.0413,8,27,1.25,0.4,2.0,2.3,60
95,46.9546,7,32,0.95,0.45,2.35,2.1,40
96,46.8644,7,33,1.05,0.4,2.5,1.5,40
97,46.8605,7,33,1.0,0.4,2.5,1.5,40
98,46.8316,6,32,1.0,0.35000000000000003,2.25,1.8,40
99,46.5961,7,37,1.05,0.35000000000000003,2.35,1.8,40
100,46.4983,8,27,1.45,0.5,2.0,2.3,60
