rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,35.2839,7,12,1.5,0.65,1.85,1.2,40
2,35.2839,7,12,1.5,0.65,1.85,1.2,40
3,33.6560,7,12,1.5,0.55,2.0500000000000003,1.2,40
4,32.9089,7,12,1.5,0.55,1.85,1.2,30
5,32.9089,7,12,1.5,0.55,1.85,1.2,30
6,32.9089,7,12,1.5,0.55,1.85,1.2,30
7,32.9089,7,12,1.5,0.55,1.85,1.2,30
8,32.9089,7,12,1.5,0.55,1.85,1.2,30
9,32.9089,7,12,1.5,0.55,1.85,1.2,30
10,32.8685,7,12,1.5,0.55,1.9500000000000002,1.2,30
11,32.8685,7,12,1.5,0.55,1.9500000000000002,1.2,30
12,32.5380,7,12,1.5,0.55,1.75,1.2,30
13,32.5380,7,12,1.5,0.55,1.75,1.2,30
14,32.5380,7,12,1.5,0.55,1.75,1.2,30
15,32.1523,7,12,1.5,0.6000000000000001,1.9000000000000001,1.2,40
16,32.0586,7,12,1.5,0.5,1.9,1.2,30
17,32.0586,7,12,1.5,0.5,1.9,1.2,30
18,32.0586,7,12,1.5,0.5,1.9,1.2,30
19,32.0586,7,12,1.5,0.5,1.9,1.2,30
20,32.0586,7,12,1.5,0.5,1.9,1.2,30
21,32.0586,7,12,1.5,0.5,1.9,1.2,30
22,32.0586,7,12,1.5,0.5,1.9,1.2,30
23,32.0586,7,12,1.5,0.5,1.9,1.2,30
24,32.0586,7,12,1.5,0.5,1.9,1.2,30
25,31.4503,6,14,1.5,0.5,1.8000000000000003,1.2,30
26,31.4503,6,14,1.5,0.5,1.8000000000000003,1.2,30
27,31.4186,7,12,1.5,0.5,1.8000000000000003,1.2,30
28,31.4186,7,12,1.5,0.5,1.8000000000000003,1.2,30
29,31.4146,7,12,1.5,0.45,1.85,1.2,30
30,31.0518,7,12,1.5,0.45,1.7500000000000002,1.2,30
31,29.8120,7,12,1.5,0.65,1.9500000000000002,1.1,40
32,28.9521,6,14,1.5,0.4,1.8,1.1,30
33,28.9521,6,14,1.5,0.4,1.8,1.1,30
34,28.9521,6,14,1.5,0.4,1.8,1.1,30
35,28.9231,6,14,1.5,0.45,1.7500000000000002,1.1,30
36,28.9231,6,14,1.5,0.45,1.7500000000000002,1.1,30
37,28.6764,6,14,1.5,0.35000000000000003,1.75,1.1,30
38,28.6484,8,14,1.35,0.55,2.35,1.3,30
39,26.3248,8,14,1.5,0.65,2.35,1.4,40
40,25.7474,7,12,1.45,0.65,1.85,1.3,30
41,25.7474,7,12,1.45,0.65,1.85,1.3,30
42,25.2836,7,12,1.5,0.65,1.85,1.3,40
43,25.0112,8,14,1.25,0.65,1.85,1.3,50
44,24.9372,5,15,1.5,0.35000000000000003,1.6500000000000001,1.1,30
45,24.6237,7,11,1.5,0.65,2.05,1.2,40
46,24.4275,8,12,1.4000000000000001,0.7,1.8,1.3,40
47,24.2831,7,11,1.5,0.65,1.9500000000000002,1.2,40
48,23.8176,7,11,1.5,0.55,1.85,1.2,30
49,23.8176,7,11,1.5,0.55,1.85,1.2,30
50,23.8176,7,11,1.5,0.55,1.85,1.2,30
51,23.8176,7,11,1.5,0.55,1.85,1.2,30
52,23.8176,7,11,1.5,0.55,1.85,1.2,30
53,23.8176,7,11,1.5,0.55,1.85,1.2,30
54,23.7335,8,12,1.35,0.7,2.1,1.4,40
55,23.6529,7,11,1.1,0.7,2.1,1.3,40
56,23.5743,7,11,1.5,0.55,1.9500000000000002,1.2,30
57,23.5743,7,11,1.5,0.55,1.9500000000000002,1.2,30
58,23.5743,7,11,1.5,0.55,1.9500000000000002,1.2,30
59,23.5503,7,11,1.5,0.55,1.75,1.2,30
60,23.4545,7,11,1.5,0.55,1.85,1.2,40
61,23.4484,7,12,1.45,0.6000000000000001,2.1,1.3,40
62,23.3793,8,14,1.1500000000000001,0.55,2.25,1.3,30
63,23.1806,7,11,1.5,0.5,1.9,1.2,30
64,23.1806,7,11,1.5,0.5,1.9,1.2,30
65,23.1806,7,11,1.5,0.5,1.9,1.2,30
66,22.8909,6,13,1.5,0.5,1.8000000000000003,1.2,30
67,22.8798,8,20,1.35,0.65,2.05,1.4,40
68,22.7355,8,14,1.05,0.65,1.9500000000000002,1.4,40
69,22.7090,8,14,1.25,0.65,2.1500000000000004,1.3,40
70,22.6954,7,12,1.5,0.55,2.25,1.3,40
71,22.6940,6,13,1.5,0.4,1.8,1.1,30
72,22.6940,6,13,1.5,0.4,1.8,1.1,30
73,22.5213,6,13,1.5,0.45,1.7500000000000002,1.1,30
74,22.3437,7,12,1.4000000000000001,0.6000000000000001,2.2,1.3,30
75,22.2729,7,12,1.45,0.7,2.1,1.4,40
76,22.2424,8,13,1.4000000000000001,0.7,1.7000000000000002,1.3,40
77,22.1847,8,13,1.45,0.65,1.75,1.3,50
78,22.1764,8,13,1.5,0.65,2.05,1.3,40
79,22.1764,8,13,1.5,0.65,2.05,1.3,40
80,22.0946,7,12,1.5,0.55,2.15,1.3,40
81,22.0727,8,13,1.4000000000000001,0.65,2.05,1.3,40
82,21.8405,7,13,1.45,0.5,1.9,1.1,30
83,21.5427,8,12,1.45,0.7,1.9000000000000001,1.1,40
84,21.5332,8,13,1.25,0.6000000000000001,2.5,1.3,40
85,21.4473,6,13,1.5,0.35000000000000003,1.6500000000000001,1.1,30
86,21.2396,8,13,1.35,0.65,2.05,1.4,40
87,21.2396,8,13,1.35,0.65,2.05,1.4,40
88,21.0108,8,12,1.5,0.7,2.1,1.2,40
89,20.8249,5,15,1.5,0.5,1.8000000000000003,1.2,30
90,20.7504,8,13,1.5,0.55,2.25,1.3,50
91,20.7303,7,16,1.4000000000000001,0.5,2.4,1.3,30
92,20.6146,7,12,1.45,0.55,1.85,1.2,30
93,20.5654,8,13,1.0,0.65,2.05,1.3,40
94,20.4997,8,12,1.45,0.65,1.65,1.4,30
95,20.3690,7,13,1.45,0.65,2.05,1.4,60
96,20.2782,7,12,1.45,0.55,1.9500000000000002,1.2,30
97,20.2534,8,16,1.45,0.7,1.8,1.3,30
98,20.2358,7,12,1.4000000000000001,0.55,1.9500000000000002,1.2,30
99,20.0599,7,14,1.2,0.6000000000000001,2.2,1.3,30
100,20.0519,7,12,1.45,0.5,1.9,1.2,30
