rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,72.7406,10,54,1.1,0.2,0.3,1.3,30
2,72.7406,10,54,1.1,0.2,0.3,1.3,30
3,72.7406,10,54,1.1,0.2,0.3,1.3,30
4,72.7406,10,54,1.1,0.2,0.3,1.3,30
5,72.7406,10,54,1.1,0.2,0.3,1.3,30
6,72.7406,10,54,1.1,0.2,0.3,1.3,30
7,72.7406,10,54,1.1,0.2,0.3,1.3,30
8,72.7406,10,54,1.1,0.2,0.3,1.3,30
9,72.7406,10,54,1.1,0.2,0.3,1.3,30
10,72.7406,10,54,1.1,0.2,0.3,1.3,30
11,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
12,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
13,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
14,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
15,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
16,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
17,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
18,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
19,72.6920,10,54,1.1500000000000001,0.2,0.3,1.3,30
20,72.6474,10,54,1.2,0.2,0.3,1.3,30
21,72.6474,10,54,1.2,0.2,0.3,1.3,30
22,68.4000,10,54,1.25,0.2,0.3,1.3,30
23,68.4000,10,54,1.25,0.2,0.3,1.3,30
24,68.3637,10,54,1.3,0.2,0.3,1.3,30
25,68.3637,10,54,1.3,0.2,0.3,1.3,30
26,66.0747,10,54,1.35,0.2,0.3,1.3,30
27,62.2211,10,50,1.2,0.2,0.3,1.3,30
28,61.4244,10,54,1.1,0.2,0.3,1.4,30
29,61.4244,10,54,1.1,0.2,0.3,1.4,30
30,61.4244,10,54,1.1,0.2,0.3,1.4,30
31,61.4244,10,54,1.1,0.2,0.3,1.4,30
32,61.3905,10,54,1.1500000000000001,0.2,0.3,1.4,30
33,61.3594,10,54,1.2,0.2,0.3,1.4,30
34,60.0843,9,52,1.1,0.2,0.3,1.3,30
35,60.0843,9,52,1.1,0.2,0.3,1.3,30
36,60.0419,9,52,1.1500000000000001,0.2,0.3,1.3,30
37,58.2653,10,54,1.1500000000000001,0.2,0.4,1.3,30
38,58.2321,10,54,1.2,0.2,0.4,1.3,30
39,58.2035,10,55,1.2,0.2,0.3,1.3,30
40,55.3659,10,54,1.25,0.2,0.4,1.3,30
41,55.2933,9,53,1.1,0.2,0.3,1.3,30
42,55.1793,10,50,1.2,0.2,0.4,1.3,30
43,54.7212,10,55,1.3,0.2,0.3,1.3,30
44,54.7212,10,55,1.3,0.2,0.3,1.3,30
45,54.6101,9,52,1.25,0.2,0.3,1.3,30
46,53.0955,9,52,1.2,0.2,0.4,1.3,30
47,53.0923,10,55,1.1,0.2,0.3,1.4,30
48,53.0923,10,55,1.1,0.2,0.3,1.4,30
49,53.0923,10,55,1.1,0.2,0.3,1.4,30
50,53.0923,10,55,1.1,0.2,0.3,1.4,30
51,53.0923,10,55,1.1,0.2,0.3,1.4,30
52,53.0923,10,55,1.1,0.2,0.3,1.4,30
53,53.0694,10,55,1.1500000000000001,0.2,0.3,1.4,30
54,53.0694,10,55,1.1500000000000001,0.2,0.3,1.4,30
55,53.0694,10,55,1.1500000000000001,0.2,0.3,1.4,30
56,52.8458,10,55,1.4000000000000001,0.2,0.3,1.3,30
57,51.2499,10,53,1.1,0.2,0.3,1.3,30
58,51.2499,10,53,1.1,0.2,0.3,1.3,30
59,51.2499,10,53,1.1,0.2,0.3,1.3,30
60,51.1928,10,53,1.1500000000000001,0.2,0.3,1.3,30
61,51.1928,10,53,1.1500000000000001,0.2,0.3,1.3,30
62,51.1928,10,53,1.1500000000000001,0.2,0.3,1.3,30
63,51.1928,10,53,1.1500000000000001,0.2,0.3,1.3,30
64,51.1928,10,53,1.1500000000000001,0.2,0.3,1.3,30
65,51.1928,10,53,1.1500000000000001,0.2,0.3,1.3,30
66,49.1264,10,52,1.35,0.2,0.3,1.3,30
67,48.6845,10,54,1.05,0.2,0.3,1.3,30
68,46.3866,9,51,0.7,0.2,0.3,1.3,30
69,46.3683,10,52,1.45,0.2,0.3,1.3,30
70,46.3074,10,48,0.7,0.2,0.3,1.3,30
71,46.2469,10,55,1.2,0.2,0.4,1.3,30
72,45.7893,10,49,0.7,0.2,0.4,1.2,30
73,44.6797,10,48,0.7,0.2,0.4,1.3,30
74,43.9189,10,49,1.35,0.2,0.4,1.2,30
75,43.9024,9,51,0.7,0.2,0.4,1.3,30
76,43.9024,9,51,0.7,0.2,0.4,1.3,30
77,43.6711,10,54,1.1,0.2,0.3,1.5,30
78,43.6500,10,54,1.2,0.2,0.3,1.5,30
79,43.5571,9,53,1.05,0.2,0.3,1.3,30
80,43.3934,10,53,1.25,0.2,0.4,1.3,30
81,43.3934,10,53,1.25,0.2,0.4,1.3,30
82,43.3934,10,53,1.25,0.2,0.4,1.3,30
83,42.6234,11,47,0.6000000000000001,0.2,0.3,1.2,30
84,42.5788,9,50,0.7,0.2,0.4,1.2,30
85,42.4461,9,50,0.7,0.2,0.4,1.3,30
86,42.3950,9,55,1.25,0.2,0.3,1.3,30
87,41.5901,10,55,1.1,0.2,0.3,1.5,30
88,41.1982,10,52,1.4000000000000001,0.2,0.3,1.4,30
89,40.8179,10,50,0.75,0.2,0.6000000000000001,1.2,30
90,40.6783,10,48,0.65,0.2,0.3,1.3,30
91,40.6783,10,48,0.65,0.2,0.3,1.3,30
92,40.4786,10,53,1.05,0.2,0.3,1.3,30
93,40.4786,10,53,1.05,0.2,0.3,1.3,30
94,40.3800,10,49,0.6000000000000001,0.2,0.3,1.2,30
95,40.1677,11,47,0.65,0.2,0.3,1.2,30
96,39.8475,9,49,0.75,0.2,0.4,1.2,30
97,39.2483,11,47,0.65,0.2,0.4,1.2,30
98,39.1215,11,46,0.65,0.2,0.3,1.2,30
99,38.7942,10,55,1.05,0.2,0.3,1.3,30
100,38.4572,9,49,0.7,0.2,0.4,1.3,30
