rank,score,ema_fast,ema_slow,sl_pct,tp1_pct,tp2_pct,volume_multiplier,tp1_close_pct
1,49.0328,6,39,0.75,0.2,0.5,1.0,60
2,48.9986,7,37,0.7,0.2,0.5,1.0,60
3,48.9986,7,37,0.7,0.2,0.5,1.0,60
4,48.7827,6,40,0.75,0.2,0.5,1.0,60
5,48.7827,6,40,0.75,0.2,0.5,1.0,60
6,48.7827,6,40,0.75,0.2,0.5,1.0,60
7,48.7827,6,40,0.75,0.2,0.5,1.0,60
8,48.7827,6,40,0.75,0.2,0.5,1.0,60
9,48.7827,6,40,0.75,0.2,0.5,1.0,60
10,48.5883,5,43,0.75,0.2,0.5,1.0,60
11,48.5491,6,40,0.7,0.2,0.5,1.0,60
12,48.5491,6,40,0.7,0.2,0.5,1.0,60
13,48.4271,6,44,0.75,0.2,0.6000000000000001,1.0,60
14,48.3676,6,35,0.95,0.2,0.3,1.0,60
15,48.2297,5,42,0.75,0.2,0.6000000000000001,1.0,60
16,48.1927,7,32,0.9000000000000001,0.2,0.4,1.0,60
17,48.1726,6,40,0.75,0.2,0.6000000000000001,1.0,60
18,48.0722,7,32,0.95,0.2,0.5,1.0,60
19,48.0559,6,41,0.75,0.2,0.5,1.0,60
20,48.0559,6,41,0.75,0.2,0.5,1.0,60
21,48.0559,6,41,0.75,0.2,0.5,1.0,60
22,48.0559,6,41,0.75,0.2,0.5,1.0,60
23,48.0559,6,41,0.75,0.2,0.5,1.0,60
24,48.0559,6,41,0.75,0.2,0.5,1.0,60
25,48.0559,6,41,0.75,0.2,0.5,1.0,60
26,48.0559,6,41,0.75,0.2,0.5,1.0,60
27,48.0168,6,39,0.7,0.2,0.4,1.0,60
28,47.9196,6,41,0.75,0.2,0.6000000000000001,1.0,60
29,47.6324,6,44,0.75,0.2,0.5,1.0,60
30,47.5065,6,40,0.8,0.2,0.5,1.0,60
31,47.3994,6,39,0.8,0.2,0.5,1.0,60
32,46.9800,5,43,0.75,0.2,0.6000000000000001,1.0,60
33,46.9043,7,36,0.7,0.2,0.6000000000000001,1.0,60
34,46.7559,6,39,0.75,0.2,0.7,1.0,60
35,46.5269,6,39,0.8,0.2,0.6000000000000001,1.0,60
36,46.5115,7,32,1.0,0.2,0.4,1.0,60
37,46.4077,7,38,0.7,0.2,0.5,1.0,60
38,46.4077,7,38,0.7,0.2,0.5,1.0,60
39,46.4077,7,38,0.7,0.2,0.5,1.0,60
40,46.4077,7,38,0.7,0.2,0.5,1.0,60
41,46.1669,6,43,0.75,0.2,0.6000000000000001,1.0,60
42,46.1164,5,46,0.8,0.2,0.6000000000000001,1.0,60
43,46.1039,6,44,0.8,0.2,0.6000000000000001,1.0,60
44,45.9440,5,41,0.75,0.2,0.6000000000000001,1.0,60
45,45.9440,5,41,0.75,0.2,0.6000000000000001,1.0,60
46,45.8989,7,33,0.95,0.2,0.5,1.0,60
47,45.8989,7,33,0.95,0.2,0.5,1.0,60
48,45.6277,7,33,0.7,0.2,0.5,1.0,60
49,45.6277,7,33,0.7,0.2,0.5,1.0,60
50,45.6277,7,33,0.7,0.2,0.5,1.0,60
51,45.5400,6,42,0.75,0.2,0.6000000000000001,1.0,60
52,45.4438,5,40,0.75,0.2,0.5,1.0,60
53,45.4138,7,35,0.75,0.2,0.5,1.0,60
54,45.4135,6,42,0.75,0.2,0.5,1.0,60
55,45.4135,6,42,0.75,0.2,0.5,1.0,60
56,45.3774,6,33,0.95,0.2,0.3,1.0,60
57,45.3650,7,33,0.95,0.2,0.4,1.0,60
58,45.2296,7,34,0.65,0.2,0.6000000000000001,1.0,60
59,45.0185,8,33,0.65,0.2,0.5,1.0,60
60,44.6864,9,34,0.75,0.2,0.6000000000000001,1.0,60
61,44.5255,8,35,0.8500000000000001,0.2,0.5,1.0,60
62,44.4510,8,33,0.7,0.2,0.6000000000000001,1.0,60
63,44.3235,8,31,0.65,0.2,0.5,1.0,60
64,44.2641,6,42,0.4,0.2,0.5,1.0,60
65,44.1345,8,31,0.7,0.2,0.5,1.0,60
66,44.1345,8,31,0.7,0.2,0.5,1.0,60
67,43.7254,8,30,0.95,0.2,0.3,1.0,60
68,43.6776,8,35,0.8500000000000001,0.2,0.6000000000000001,1.0,60
69,43.6679,8,30,0.95,0.2,0.5,1.0,60
70,43.5312,7,35,0.6000000000000001,0.2,0.6000000000000001,1.0,60
71,43.5312,7,35,0.6000000000000001,0.2,0.6000000000000001,1.0,60
72,43.4247,8,33,0.9000000000000001,0.2,0.5,1.0,60
73,43.4247,8,33,0.9000000000000001,0.2,0.5,1.0,60
74,43.3432,6,39,0.75,0.2,0.4,1.1,60
75,43.3152,9,33,0.7,0.2,0.6000000000000001,1.0,60
76,43.2958,6,45,0.8,0.2,0.4,1.0,60
77,43.2620,7,31,0.95,0.2,0.5,1.0,60
78,43.2620,7,31,0.95,0.2,0.5,1.0,60
79,43.2545,7,34,1.05,0.2,0.3,1.1,60
80,43.1198,8,31,0.9000000000000001,0.2,0.5,1.0,60
81,43.1198,8,31,0.9000000000000001,0.2,0.5,1.0,60
82,43.1164,9,34,0.8,0.2,0.6000000000000001,1.0,60
83,43.1164,9,34,0.8,0.2,0.6000000000000001,1.0,60
84,43.1164,9,34,0.8,0.2,0.6000000000000001,1.0,60
85,42.9220,8,30,0.65,0.2,0.5,1.0,60
86,42.8730,8,34,0.75,0.2,0.6000000000000001,1.0,60
87,42.8544,7,32,0.9000000000000001,0.2,0.4,1.1,60
88,42.8544,7,32,0.9000000000000001,0.2,0.4,1.1,60
89,42.8178,8,33,0.95,0.2,0.5,1.0,60
90,42.7504,7,35,0.65,0.2,0.7,1.0,60
91,42.6485,9,33,0.65,0.2,0.5,1.0,60
92,42.4509,7,32,0.9000000000000001,0.2,0.4,1.2,60
93,42.3744,7,32,0.9000000000000001,0.2,0.5,1.1,60
94,42.2218,6,41,0.8,0.2,0.5,1.1,60
95,42.1011,7,32,0.95,0.2,0.4,1.1,60
96,42.0581,6,44,0.7,0.25,0.44999999999999996,1.0,60
97,42.0395,8,31,0.8500000000000001,0.2,0.5,1.0,60
98,41.9835,7,32,1.0,0.2,0.4,1.1,60
99,41.9835,7,32,1.0,0.2,0.4,1.1,60
100,41.9835,7,32,1.0,0.2,0.4,1.1,60
